Data,Ospiti
2022-06-01 00:00:00.000000 UTC,339.0
2022-06-02 00:00:00.000000 UTC,557.0
2022-06-03 00:00:00.000000 UTC,357.0
2022-06-04 00:00:00.000000 UTC,525.0
2022-06-05 00:00:00.000000 UTC,459.0
2022-06-06 00:00:00.000000 UTC,282.0
2022-06-07 00:00:00.000000 UTC,358.0
2022-06-08 00:00:00.000000 UTC,435.0
2022-06-09 00:00:00.000000 UTC,317.0
2022-06-10 00:00:00.000000 UTC,430.0
2022-06-11 00:00:00.000000 UTC,522.0
2022-06-12 00:00:00.000000 UTC,363.0
2022-06-13 00:00:00.000000 UTC,255.0
2022-06-14 00:00:00.000000 UTC,367.0
2022-06-15 00:00:00.000000 UTC,349.0
2022-06-16 00:00:00.000000 UTC,344.0
2022-06-17 00:00:00.000000 UTC,433.0
2022-06-18 00:00:00.000000 UTC,605.0
2022-06-19 00:00:00.000000 UTC,393.0
2022-06-20 00:00:00.000000 UTC,258.0
2022-06-21 00:00:00.000000 UTC,346.0
2022-06-22 00:00:00.000000 UTC,400.0
2022-06-23 00:00:00.000000 UTC,336.0
2022-06-24 00:00:00.000000 UTC,472.0
2022-06-25 00:00:00.000000 UTC,533.0
2022-06-26 00:00:00.000000 UTC,371.0
2022-06-27 00:00:00.000000 UTC,279.0
2022-06-28 00:00:00.000000 UTC,369.0
2022-06-29 00:00:00.000000 UTC,360.0
2022-06-30 00:00:00.000000 UTC,368.0
2022-07-01 00:00:00.000000 UTC,371.0
2022-07-02 00:00:00.000000 UTC,585.0
2022-07-03 00:00:00.000000 UTC,400.0
2022-07-04 00:00:00.000000 UTC,263.0
2022-07-05 00:00:00.000000 UTC,301.0
2022-07-06 00:00:00.000000 UTC,365.0
2022-07-07 00:00:00.000000 UTC,377.0
2022-07-08 00:00:00.000000 UTC,362.0
2022-07-09 00:00:00.000000 UTC,545.0
2022-07-10 00:00:00.000000 UTC,390.0
2022-07-11 00:00:00.000000 UTC,301.0
2022-07-12 00:00:00.000000 UTC,338.0
2022-07-13 00:00:00.000000 UTC,349.0
2022-07-14 00:00:00.000000 UTC,308.0
2022-07-15 00:00:00.000000 UTC,404.0
2022-07-16 00:00:00.000000 UTC,488.0
2022-07-17 00:00:00.000000 UTC,422.0
2022-07-18 00:00:00.000000 UTC,278.0
2022-07-19 00:00:00.000000 UTC,324.0
2022-07-20 00:00:00.000000 UTC,369.0
2022-07-21 00:00:00.000000 UTC,343.0
2022-07-22 00:00:00.000000 UTC,315.0
2022-07-23 00:00:00.000000 UTC,591.0
2022-07-24 00:00:00.000000 UTC,418.0
2022-07-25 00:00:00.000000 UTC,351.0
2022-07-26 00:00:00.000000 UTC,372.0
2022-07-27 00:00:00.000000 UTC,380.0
2022-07-28 00:00:00.000000 UTC,387.0
2022-07-29 00:00:00.000000 UTC,382.46212306212306
2022-07-30 00:00:00.000000 UTC,556.0
2022-07-31 00:00:00.000000 UTC,392.0
2022-08-01 00:00:00.000000 UTC,327.0
2022-08-02 00:00:00.000000 UTC,357.0
2022-08-03 00:00:00.000000 UTC,351.0
2022-08-04 00:00:00.000000 UTC,425.0
2022-08-05 00:00:00.000000 UTC,436.0
2022-08-06 00:00:00.000000 UTC,587.0
2022-08-07 00:00:00.000000 UTC,522.0
2022-08-08 00:00:00.000000 UTC,357.0
2022-08-09 00:00:00.000000 UTC,311.0
2022-08-10 00:00:00.000000 UTC,397.0
2022-08-11 00:00:00.000000 UTC,350.0
2022-08-12 00:00:00.000000 UTC,452.0
2022-08-13 00:00:00.000000 UTC,450.0
2022-08-14 00:00:00.000000 UTC,417.0
2022-08-15 00:00:00.000000 UTC,790.0
2022-08-16 00:00:00.000000 UTC,427.0
2022-08-17 00:00:00.000000 UTC,391.0
2022-08-18 00:00:00.000000 UTC,508.0
2022-08-19 00:00:00.000000 UTC,566.0
2022-08-20 00:00:00.000000 UTC,635.0
2022-08-21 00:00:00.000000 UTC,529.0
2022-08-22 00:00:00.000000 UTC,357.0
2022-08-23 00:00:00.000000 UTC,385.0
